Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification, Revenue 
X3,2016,South America,Blue,Diesel,Manual,2.5,143519,34749,7553,High," 262,459,197 "
M5,2023,Asia,Red,Electric,Manual,3,130509,94884,9645,High," 915,156,180 "
3 Series,2017,Europe,Grey,Petrol,Manual,3.8,89365,86684,9474,High," 821,244,216 "
X3,2014,Middle East,Black,Petrol,Manual,2.2,80167,60899,8000,High," 487,192,000 "
5 Series,2012,Asia,Red,Diesel,Automatic,2.7,124260,39501,6584,Low," 260,074,584 "
7 Series,2021,Europe,Black,Diesel,Automatic,4.2,83191,60731,6249,Low," 379,508,019 "
i8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690,1697,Low," 121,657,930 "
i3,2015,Middle East,Red,Diesel,Manual,2.6,67021,58894,6072,Low," 357,604,368 "
3 Series,2020,South America,Black,Electric,Automatic,3.8,55451,79774,1142,Low," 91,101,908 "
7 Series,2012,North America,Silver,Hybrid,Automatic,4.2,178603,42764,9856,High," 421,481,984 "
i3,2010,Africa,Blue,Petrol,Manual,3.6,91061,45834,7607,High," 348,659,238 "
X3,2012,North America,White,Diesel,Automatic,2.3,121703,116468,8333,High," 970,527,844 "
M5,2014,Africa,Red,Petrol,Manual,1.5,88800,59448,3877,Low," 230,479,896 "
3 Series,2024,Africa,Grey,Electric,Manual,4.3,69653,113482,4956,Low," 562,416,792 "
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,5598,Low," 486,163,908 "
X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494,6791,Low," 505,888,754 "
i3,2010,Africa,Blue,Diesel,Manual,1.8,120482,101137,968,Low," 97,900,616 "
X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617,8217,High," 900,722,889 "
3 Series,2019,Africa,Silver,Electric,Manual,4.4,33051,108637,5548,Low," 602,718,076 "
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181,148,Low," 13,050,788 "
3 Series,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650,6447,Low," 513,503,550 "
X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627,6673,Low," 344,506,971 "
X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967,8127,High," 812,431,809 "
X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120,9970,High," 320,236,400 "
i3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,9832,High," 900,090,104 "
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,3880,Low," 398,933,840 "
5 Series,2024,Middle East,Grey,Petrol,Manual,3.6,120789,49279,9951,High," 490,375,329 "
5 Series,2019,Middle East,Black,Petrol,Automatic,3.8,178723,36571,7403,High," 270,735,113 "
i8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,8537,High," 820,115,442 "
X3,2021,Europe,Blue,Hybrid,Manual,2,126258,32119,4249,Low," 136,473,631 "
7 Series,2022,Middle East,Blue,Diesel,Automatic,2.3,126953,57691,271,Low," 15,634,261 "
3 Series,2012,South America,Blue,Petrol,Manual,3.7,78678,96429,6974,Low," 672,495,846 "
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,2922,Low," 329,145,768 "
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,3433,Low," 168,251,330 "
X5,2010,Asia,White,Petrol,Automatic,3.8,35565,39793,6620,Low," 263,429,660 "
3 Series,2013,South America,Black,Electric,Automatic,2.3,173100,101189,1476,Low," 149,354,964 "
3 Series,2022,South America,Red,Electric,Automatic,3.6,68978,107968,4129,Low," 445,799,872 "
i3,2013,Asia,Black,Petrol,Automatic,3.4,115144,51327,9128,High," 468,512,856 "
3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,3507,Low," 296,814,945 "
X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484,9106,High," 705,569,304 "
3 Series,2016,Europe,White,Electric,Automatic,4.7,149253,71328,3222,Low," 229,818,816 "
X5,2016,Africa,White,Electric,Manual,3,146541,72024,9331,High," 672,055,944 "
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,5761,Low," 417,303,796 "
i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,6920,Low," 650,459,240 "
5 Series,2020,South America,Blue,Electric,Manual,1.8,18642,53862,6897,Low," 371,486,214 "
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,5139,Low," 544,343,436 "
M5,2013,North America,Grey,Petrol,Manual,4.2,31068,62719,1396,Low," 87,555,724 "
X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919,491,Low," 24,510,229 "
3 Series,2016,Africa,Black,Petrol,Automatic,2.3,189931,71591,6640,Low," 475,364,240 "
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,8960,High," 773,498,880 "
X1,2012,Middle East,White,Electric,Automatic,2.1,180074,42552,5542,Low," 235,823,184 "
3 Series,2015,Europe,Red,Hybrid,Manual,2.4,191042,89156,7342,High," 654,583,352 "
X1,2021,South America,Grey,Diesel,Automatic,3,37616,79927,1057,Low," 84,482,839 "
M3,2011,South America,White,Petrol,Automatic,2.7,75468,39495,7431,High," 293,487,345 "
M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271,6150,Low," 235,366,650 "
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,9536,High," 709,812,160 "
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,5141,Low," 534,602,308 "
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,1659,Low," 122,688,027 "
X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673,4699,Low," 501,256,427 "
M3,2015,Africa,Blue,Diesel,Manual,4.4,152887,42738,6588,Low," 281,557,944 "
X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097,1474,Low," 78,264,978 "
X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936,2428,Low," 147,952,608 "
3 Series,2021,Asia,White,Hybrid,Manual,3.8,157700,87186,5065,Low," 441,597,090 "
5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,38861,9087,High," 353,129,907 "
3 Series,2013,Asia,Silver,Hybrid,Automatic,4.2,10678,33086,5817,Low," 192,461,262 "
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,3445,Low," 309,595,260 "
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,3372,Low," 293,657,364 "
i8,2020,North America,Blue,Electric,Manual,4.3,191305,70057,7327,High," 513,307,639 "
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,808,Low," 89,827,784 "
X1,2016,Middle East,Blue,Diesel,Automatic,4.4,157249,56309,3076,Low," 173,206,484 "
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,6636,Low," 510,368,124 "
7 Series,2018,Asia,Red,Hybrid,Manual,2.5,31798,58752,3606,Low," 211,859,712 "
i8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,1206,Low," 99,431,082 "
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,7058,High," 569,615,890 "
i8,2010,South America,Red,Hybrid,Automatic,2,49903,92666,9368,High," 868,095,088 "
7 Series,2010,Asia,White,Petrol,Automatic,2.8,28668,65268,2069,Low," 135,039,492 "
i8,2018,Asia,Red,Petrol,Manual,2.1,61031,116846,6121,Low," 715,214,366 "
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,9792,High," 1,124,709,120 "
X5,2023,North America,Blue,Hybrid,Manual,4,83959,43850,9612,High," 421,486,200 "
7 Series,2018,Africa,Silver,Electric,Manual,4.5,198286,96859,8022,High," 777,002,898 "
X6,2013,Asia,Red,Petrol,Automatic,1.6,74914,107293,3205,Low," 343,874,065 "
M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700,249,Low," 14,616,300 "
X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253,7350,High," 457,559,550 "
X1,2012,North America,Black,Electric,Manual,1.8,80289,100980,3581,Low," 361,609,380 "
M5,2016,North America,Silver,Electric,Automatic,4,67272,78120,381,Low," 29,763,720 "
M5,2015,North America,White,Petrol,Manual,4.1,54534,94839,3880,Low," 367,975,320 "
3 Series,2017,North America,Blue,Petrol,Manual,4.3,86002,100678,2815,Low," 283,408,570 "
5 Series,2020,Europe,Blue,Diesel,Manual,3.2,165669,38170,9239,High," 352,652,630 "
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,1036,Low," 81,880,260 "
3 Series,2023,South America,White,Petrol,Automatic,2.1,190846,56836,5315,Low," 302,083,340 "
M3,2014,Africa,Black,Hybrid,Manual,2.4,180096,33093,2976,Low," 98,484,768 "
X3,2010,North America,Black,Electric,Manual,2,191879,50319,1311,Low," 65,968,209 "
X1,2012,Africa,White,Electric,Automatic,4.3,185093,108905,5952,Low," 648,202,560 "
i8,2019,Africa,Silver,Hybrid,Manual,2.3,187214,31212,3778,Low," 117,918,936 "
3 Series,2021,South America,Black,Electric,Automatic,2,162323,72641,4298,Low," 312,211,018 "
5 Series,2017,Europe,Silver,Electric,Manual,3.7,69712,82957,8127,High," 674,191,539 "
M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,8772,High," 800,427,456 "
X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,3430,Low," 387,967,300 "
i3,2015,Asia,Red,Diesel,Manual,1.9,90245,34249,8483,High," 290,534,267 "
7 Series,2017,North America,White,Hybrid,Manual,1.5,7334,77120,6825,Low," 526,344,000 "
X1,2018,Asia,Black,Hybrid,Manual,3.9,13275,79969,9134,High," 730,436,846 "
X1,2013,South America,Blue,Hybrid,Manual,3.5,128136,101839,125,Low," 12,729,875 "
X5,2010,Africa,Black,Diesel,Automatic,2.2,187108,105887,5236,Low," 554,424,332 "
X5,2023,South America,White,Diesel,Manual,2.3,162977,31112,2466,Low," 76,722,192 "
7 Series,2010,South America,Black,Petrol,Manual,4.3,52940,51743,4350,Low," 225,082,050 "
X1,2019,Europe,White,Hybrid,Automatic,3.3,106294,102607,7920,High," 812,647,440 "
i8,2013,Europe,Red,Diesel,Manual,3.9,106314,113159,113,Low," 12,786,967 "
M3,2021,Asia,Blue,Diesel,Automatic,3.1,139850,34852,2275,Low," 79,288,300 "
7 Series,2023,Asia,Blue,Diesel,Automatic,2.3,52061,96938,1714,Low," 166,151,732 "
X5,2016,North America,White,Petrol,Manual,4.9,88027,103663,9847,High," 1,020,769,561 "
3 Series,2011,Asia,Blue,Diesel,Automatic,3.5,196822,74108,4182,Low," 309,919,656 "
M5,2012,Asia,Black,Electric,Automatic,2,65212,48461,3244,Low," 157,207,484 "
X3,2010,Middle East,Red,Diesel,Automatic,2.9,35130,113525,6461,Low," 733,485,025 "
M3,2014,Europe,Blue,Hybrid,Automatic,2.7,129742,111245,9520,High," 1,059,052,400 "
X3,2010,South America,Blue,Electric,Automatic,2.2,73482,61329,4579,Low," 280,825,491 "
X5,2017,Africa,Silver,Petrol,Automatic,4.8,32268,68638,7530,High," 516,844,140 "
X5,2010,North America,Grey,Diesel,Manual,4.6,53211,116928,9850,High," 1,151,740,800 "
M3,2020,South America,Grey,Petrol,Manual,2.2,154481,100103,9122,High," 913,139,566 "
7 Series,2010,South America,Silver,Hybrid,Manual,2.7,147526,35576,1916,Low," 68,163,616 "
X1,2011,South America,Blue,Diesel,Manual,4.2,183658,52709,3813,Low," 200,979,417 "
i3,2011,North America,Grey,Electric,Automatic,2.2,131725,73410,6205,Low," 455,509,050 "
M5,2021,South America,Black,Electric,Manual,3.6,50949,40782,6688,Low," 272,750,016 "
i3,2015,Europe,Grey,Electric,Manual,3.9,20717,79002,1402,Low," 110,760,804 "
5 Series,2016,Middle East,Silver,Petrol,Manual,3.8,135036,38344,8273,High," 317,219,912 "
M3,2014,Europe,White,Petrol,Manual,4,29746,103056,7577,High," 780,855,312 "
M3,2010,Europe,Black,Hybrid,Manual,4,87426,60458,9098,High," 550,046,884 "
M5,2010,Europe,Red,Diesel,Manual,4.9,28560,32486,4427,Low," 143,815,522 "
X5,2012,North America,White,Diesel,Manual,2.7,68627,65633,9311,High," 611,108,863 "
3 Series,2023,Africa,Black,Petrol,Manual,4.6,95366,101460,3182,Low," 322,845,720 "
i3,2011,Africa,White,Diesel,Manual,1.6,97680,115240,5797,Low," 668,046,280 "
